seller-sku	asin1	price	quantity
DCG010120-598	B07GBBG2VC	36.06	30
DCG010120-6100	B07FP4F6X7	97.78	30
DCG010120-6102	B07GF2FQQ1	39.16	30
DCG010120-6104	B07GRKQV7S	29.73	30
DCG010120-6105	B07GXZ8JJB	55.48	30
DCG010120-6106	B07GZ39QZL	52.94	30
DCG010120-6110	B07H5VPLFJ	65.06	30
DCG010120-6112	B07H9SM869	39.84	30
DCG010120-6115	B07HP3WG69	67.86	20
DCG010120-6117	B07J24HX57	47.51	20
DCG010120-6118	B07J2L8F1M	33.66	16
DCG010120-612	B00VRJPB4I	183.82	30
DCG010120-6122	B07JNG1GYV	56.92	28
DCG010120-6123	B07JQZX364	28.59	20
DCG010120-6126	B07K2LLB81	72.34	30
DCG010120-6127	B07KCNFGGW	65.78	30
DCG010120-613	B00XQ99ST6	82.65	16
DCG010120-6130	B07KVNYPTZ	80.78	30
DCG010120-6134	B07L91MXBL	57.12	30
DCG010120-6135	B07LCJPSXT	32.28	30
DCG010120-6136	B07LD7YBCW	33.48	30
DCG010120-6137	B07LG1JRG7	52.48	30
DCG010120-6141	B07M8CLTXJ	193.44	21
DCG010120-6145	B07MGDNBJ8	89.12	30
DCG010120-6146	B07MH79DJP	55.16	30
DCG010120-6147	B07MPPCNNT	69.95	30
DCG010120-6148	B07MPXNFRQ	40.11	21
DCG010120-6149	B07MQFF3LS	82	26
DCG010120-6154	B07NF1F8LN	61.45	20
DCG010120-6157	B07P8H74NQ	38.58	30
DCG010120-6158	B07P8YCPX7	67.61	30
DCG010120-6159	B07PCRWFHB	44.85	30
DCG010120-616	B01DL7RB0A	54.06	30
DCG010120-619	B01GNKYZ1U	75.39	30
DCG010120-62	B000J4CQT0	134.47	29
DCG010120-625	B01MQ0BX7H	33.25	30
DCG010120-632	B01NBK3GRT	59.16	27
DCG010120-633	B01NCWVJ85	95.69	19
DCG010120-636	B06XHHD4RT	34.36	30
DCG010120-640	B071JRYQ2V	133.95	30
DCG010120-642	B072FQ4MQB	32.38	30
DCG010120-644	B072QTMRPM	73.09	22
DCG010120-645	B073762N66	32.62	30
DCG010120-647	B073GFFCBG	61.35	30
DCG010120-65	B004SDTX2Q	40.95	30
DCG010120-650	B073VRPR1F	55.39	30
DCG010120-652	B074Q1S89D	51.52	14
DCG010120-655	B074XVZZLZ	33.07	30
DCG010120-659	B077J59K1T	24.89	30
DCG010120-66	B0084IELPA	73.12	23
DCG010120-661	B077M54LHV	32.19	30
DCG010120-664	B07879K3Z8	105.41	27
DCG010120-666	B078YZTS8B	84.27	30
DCG010120-668	B07B3JW33F	152.27	20
DCG010120-670	B07BDCWDJS	35.04	22
DCG010120-671	B07BMS3JG6	56.72	20
DCG010120-672	B07BNVG7NM	34.48	30
DCG010120-673	B07C93TNV6	33.9	30
DCG010120-675	B07CN15YMM	27.04	30
DCG010120-677	B07CRR1VHY	70.38	27
DCG010120-678	B07CRSR291	45.08	19
DCG010120-681	B07D1ZQNNY	30.46	30
DCG010120-683	B07DDF7HQW	40.55	30
DCG010120-685	B07DLDSRJV	59.94	30
DCG010120-686	B07DLR5M5R	43.11	30
DCG010120-689	B07DQGQ9BX	121.07	30
DCG010120-691	B07DWL9P2Q	30.92	30
DCG010120-692	B07DXD6NND	122.44	26
DCG010120-693	B07DYXNBJY	45.08	30
DCG010120-694	B07DZWPMTS	37.89	30
DCG010120-695	B07F2B5P1L	51.58	30
DCG010120-699	B07FKDPDZV	148.62	30
DCG010120-8101	B075H5YJNY	113.25	30
DCG010120-8105	B075R5Z74T	26.48	30
DCG010120-8108	B076CM3F49	34.52	30
DCG010120-8112	B0774LBPQ2	69.09	30
DCG010120-8118	B077PW6WX6	26.51	30
DCG010120-8119	B077S2WCM7	37.35	30
DCG010120-8121	B0789C26L8	107.61	30
DCG010120-8124	B078VRJN8P	31.88	30
DCG010120-8135	B07BF8FF1H	24.29	30
DCG010120-8136	B07BSHF85V	33.69	30
DCG010120-8137	B07BWXBWMY	33.13	30
DCG010120-8139	B07CMBGCXY	32.28	30
DCG010120-8143	B07D7QWB36	26.48	30
DCG010120-8144	B07DKD9R8G	102.19	30
DCG010120-8146	B07DP2VKQL	92.45	30
DCG010120-8147	B07DRHN17J	41.67	30
DCG010120-8148	B07DYY3479	31.53	16
DCG010120-8149	B07F1W419H	44.14	30
DCG010120-8154	B07FN3VXH4	51.11	30
DCG010120-8156	B07FYKWFBJ	32.62	30
DCG010120-816	B00KVL4QOE	50.34	18
DCG010120-8160	B07G9KW1H6	49.93	30
DCG010120-8161	B07GFC6LC7	50.71	30
DCG010120-8165	B07H4GQX9X	42.47	30
DCG010120-8167	B07HGR8P87	50.91	30
DCG010120-8171	B07K4W82K2	32.21	30
DCG010120-8172	B07KLZDMQ9	109.01	30
DCG010120-8173	B07KR1ML1M	52.91	30
DCG010120-8176	B07KYTM5S5	53.05	30
DCG010120-8177	B07L74JGSH	344.15	30
DCG010120-8180	B07M679C8L	57.39	30
DCG010120-8184	B07MVMKPNV	80.18	21
DCG010120-8185	B07MXYBPYH	32.85	30
DCG010120-8186	B07MZBKV92	36.08	30
DCG010120-8187	B07NV2KLYD	74.99	30
DCG010120-8189	B07P5H57F9	63.44	30
DCG010120-82	B0050D8SKG	80.87	30
DCG010120-825	B011BJX3JS	93.72	30
DCG010120-83	B00519Y092	37.21	30
DCG010120-836	B01C33ANJ4	34.72	30
DCG010120-847	B01GR8J19E	70.28	30
DCG010120-85	B007GDRDFE	265.66	30
DCG010120-850	B01IMZJ38Y	81.45	30
DCG010120-856	B01M116ENK	30.9	30
DCG010120-857	B01M1MQ0VY	75.39	30
DCG010120-864	B06X8YDZ3D	56.73	30
DCG010120-877	B071K74C8Z	59.11	30
